sujeto,dia_prueba,t_total_s,t_prueba1_s,t_prueba2_s,rechaza,llora,lo_toca,lo_prueba,lo_consume,val_inicio,aro_inicio,val1_antes,val1_durante,val1_despues,val2_antes,val2_durante,val2_despues,aro1_antes,aro1_durante,aro1_despues,aro2_antes,aro2_durante,aro2_despues,val_final,aro_final,comentarios
ID1,1,10.46,1.13,8.2,0.0,0.0,0.0,1.0,1.0,0.08405376,0.2255208,0.09441809,0.1022853,0.1080924,0.3720615,0.3926333,0.391042,0.2234594,0.195923,0.3346977,0.9242651,0.9213004,0.9128283,0.3323967,0.7401251,
ID1,2,15.3,5.22,11.3,0.0,0.0,0.0,1.0,1.0,0.3908818,0.99,0.1843787,0.1882534,0.1647963,0.2545249,0.423415,0.4017346,0.4034928,0.3547187,0.3430513,0.4445051,0.4445051,0.5769013,0.08836943,0.8983873,
ID1,3,22.16,1.3,8.63,0.0,0.0,0.0,1.0,1.0,0.07238618,0.4942,0.2045702,0.2114169,0.1503108,0.2319496,0.1753488,0.1531668,0.5098959,0.5866342,0.611978,0.8739771,0.8582032,0.828491,0.08091492,0.7747631,
ID1,4,24.39,1.03,10.16,0.0,0.0,0.0,1.0,1.0,,,,,0.09573639,0.3477081,0.2666226,0.2220472,,,0.7446055,0.5633453,0.544176,0.5222596,0.1144895,0.6568707,"Sólo lo consume la 1ra vez, 2da sólo pruba"
ID1,5,30.03,2.86,11.2,0.0,0.0,0.0,1.0,0.0,0.2773033,0.4484542,0.1709458,0.1388011,0.1257162,0.1036592,0.2232294,0.2665612,0.5601063,0.6002448,0.564554,0.6695504,0.6344402,0.6132188,0.06961995,0.7081411,
ID1,6,18.06,1.66,14.13,0.0,0.0,0.0,1.0,1.0,0.1244056,0.5328459,0.2663437,0.2912281,0.2975391,0.2320191,0.2654485,0.3005217,0.5836411,0.6716871,0.6628507,0.6208102,0.5414373,0.4710835,,,
ID1,7,24.56,2.13,15.73,0.0,0.0,0.0,1.0,1.0,0.3937583,0.903175,0.3061714,0.25008,0.2142682,0.2057492,0.1590829,0.1238653,0.9534001,0.9408424,0.9150357,0.6010894,0.5773733,0.6254344,0.3708604,0.7599266,Lo consume sólo la 2da vez
ID1,8,16.13,3.26,11.73,0.0,0.0,0.0,1.0,1.0,0.1621977,0.409075,0.2678629,0.2273164,0.1573585,0.08475626,0.09292223,0.09057581,0.6025187,0.5727664,0.5449232,0.6113518,0.6720524,0.6548849,,,
ID1,9,33.16,2.63,7.33,0.0,0.0,0.0,1.0,0.0,0.2405797,0.5592167,0.1962457,,,0.1587108,0.1321259,0.1290923,0.6621498,,,0.5703002,0.5519403,0.5149542,,,"Primeras 2 veces lo prueba, al 4to intento lo consume"
ID1,10,37.33,2.86,32.93,0.0,0.0,0.0,1.0,1.0,0.2963159,0.5407792,0.1181485,0.101003,0.1112219,0.1731236,0.1475703,0.1441858,0.615058,0.7078085,0.6981425,0.4468422,0.4019215,0.3735182,,,
ID1,11,18.73,1.5,3.43,0.0,0.0,0.0,1.0,1.0,0.1731134,0.6060042,0.3526806,0.3398498,0.3439848,0.3779947,0.3484415,0.2716425,0.7884769,0.7919184,0.7794912,0.3779947,0.7829572,0.746807,0.1700296,0.4501564,"1era vez sólo prueba, 2da consume"
ID1,12,21.33,3.6,9.9,0.0,0.0,0.0,1.0,1.0,0.07553978,0.2475,0.1140817,0.09534588,0.1166821,0.1295681,0.1385231,0.1354775,0.5163332,0.4703329,0.4393002,0.4122861,0.3919372,0.3752003,0.1207989,0.5138189,"1era vez sólo prueba, 2da consume"
ID1,13,21.29,3.11,10.3,0.0,0.0,0.0,1.0,1.0,0.1629333,0.57235,0.3269629,0.4831473,,0.1760402,0.2035878,0.1752403,0.7066146,0.73653,,0.3829641,0.3926499,0.4302371,0.1966855,0.2626756,
ID1,14,19.09,0.93,11.1,0.0,0.0,0.0,1.0,1.0,,,,0.115516,,0.1292886,0.1709283,0.2395472,,0.4126084,,0.6413258,0.5864004,0.5439318,0.1326854,0.7901102,"2da vez: 0,49 seg después (0,5 FIT_FAILED)"
ID1,15,18.86,1.63,12.1,0.0,0.0,0.0,1.0,1.0,0.1130981,0.601525,,0.1821491,0.1255434,0.2295672,0.1423743,0.13415,,0.7564171,0.7246944,0.7080662,0.6556586,0.6016923,0.08572582,0.557109,
